severity;category;page;detail;target
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;internet/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;internet/reperes/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;internet/activites/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;internet/cours/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;internet/exercices/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;internet/en-codant/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;internet/prolongements/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;web/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;web/reperes/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;web/activites/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;web/cours/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;web/exercices/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;web/en-codant/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;web/prolongements/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;reseaux-sociaux/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;reseaux-sociaux/reperes/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;reseaux-sociaux/activites/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;reseaux-sociaux/cours/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;reseaux-sociaux/exercices/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;reseaux-sociaux/en-codant/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;reseaux-sociaux/prolongements/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;donnees-structurees/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;donnees-structurees/reperes/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;donnees-structurees/activites/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;donnees-structurees/cours/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;donnees-structurees/exercices/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;donnees-structurees/en-codant/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;donnees-structurees/prolongements/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;localisation-cartographie-mobilite/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;localisation-cartographie-mobilite/reperes/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;localisation-cartographie-mobilite/activites/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;localisation-cartographie-mobilite/cours/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;localisation-cartographie-mobilite/exercices/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;localisation-cartographie-mobilite/en-codant/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;localisation-cartographie-mobilite/prolongements/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;informatique-embarquee-objets-connectes/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;informatique-embarquee-objets-connectes/reperes/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;informatique-embarquee-objets-connectes/activites/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;informatique-embarquee-objets-connectes/cours/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;informatique-embarquee-objets-connectes/exercices/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;informatique-embarquee-objets-connectes/en-codant/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;informatique-embarquee-objets-connectes/prolongements/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;photographie-numerique/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;photographie-numerique/reperes/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;photographie-numerique/activites/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;photographie-numerique/cours/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;photographie-numerique/exercices/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;photographie-numerique/en-codant/index.md
WARN;nav_doublon;mkdocs.yml;Page présente 2 fois dans la navigation.;photographie-numerique/prolongements/index.md
WARN;page_hors_navigation;donnees-structurees/ouverture-du-chapitre/index.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;donnees-structurees/ouverture-du-chapitre/les-donnees-en-une-seule-frise.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;donnees-structurees/ouverture-du-chapitre/qu-est-ce-que-sont-les-donnees-structurees-et-comment-traite.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;informatique-embarquee-objets-connectes/ouverture-du-chapitre/environnement-sante-handicap-sport-loisirs-ils-sont-partout.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;informatique-embarquee-objets-connectes/ouverture-du-chapitre/index.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;informatique-embarquee-objets-connectes/ouverture-du-chapitre/objets-connectes-en-une-seule-frise.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;internet/ouverture-du-chapitre/index.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;internet/ouverture-du-chapitre/internet-en-une-seule-frise.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;internet/ouverture-du-chapitre/qu-est-ce-qu-internet.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;localisation-cartographie-mobilite/ouverture-du-chapitre/index.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;localisation-cartographie-mobilite/ouverture-du-chapitre/localisation-en-une-seule-frise.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;localisation-cartographie-mobilite/ouverture-du-chapitre/ou-suis-je-es-tu-est-ce.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;photographie-numerique/ouverture-du-chapitre/capturees-stockees-transformees-visualisees-partagees.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;photographie-numerique/ouverture-du-chapitre/index.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;photographie-numerique/ouverture-du-chapitre/photographie-numerique-en-une-seule-frise.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;reseaux-sociaux/ouverture-du-chapitre/index.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;reseaux-sociaux/ouverture-du-chapitre/les-reseaux-sociaux-en-une-seule-frise.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;reseaux-sociaux/ouverture-du-chapitre/qu-est-ce-qu-un-reseau-social.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;web/ouverture-du-chapitre/index.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;web/ouverture-du-chapitre/le-web-en-une-seule-frise.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
WARN;page_hors_navigation;web/ouverture-du-chapitre/qu-est-ce-que-le-web.md;Le fichier existe dans docs mais n'est pas référencé par nav.;
FAIL;js_global_absent;mkdocs.yml;Script global introuvable.;javascripts/fix-links.js
WARN;css_navigation_concurrent;mkdocs.yml;Plusieurs feuilles CSS globales modifient la navigation latérale : stylesheets/chapter-landing.css, stylesheets/sidebar-final.css;
FAIL;page_404;404.html;La page construite contient un message 404.;
FAIL;ressource_absente;404.html;Ressource locale absente (script@src).;/Manuel-SNT/javascripts/fix-links.js
FAIL;lien_interne_casse;donnees-structurees/activites/bases-donnees-relationnelles/base-de-donnees-clients-maquette-1-fichier/index.html;Cible locale absente dans le site construit.;./Base de donnees clients maquette 1 Fichier.xlsx
FAIL;ressource_absente;donnees-structurees/activites/bases-donnees-relationnelles/base-de-donnees-clients-maquette-1-fichier/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;lien_interne_casse;donnees-structurees/activites/bases-donnees-relationnelles/base-de-donnees-clients-maquette-2-fichier/index.html;Cible locale absente dans le site construit.;./Base de donnees clients maquette 2 Fichier.xlsx
FAIL;ressource_absente;donnees-structurees/activites/bases-donnees-relationnelles/base-de-donnees-clients-maquette-2-fichier/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/bases-donnees-relationnelles/exemple-de-cle-primaire-et-etrangere-schema/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/bases-donnees-relationnelles/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/bases-donnees-relationnelles/les-bases-de-donnees-relationnelles/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/bases-donnees-relationnelles/modeliser-un-base-de-donnees-clients-questions/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/data-center/comprendre-les-data-centers-questions/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/data-center/data-center-comprendre-l-essentiel-en-9-minutes-video/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/data-center/data-center-map-site/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/data-center/e-mail-cloud-data-center-ces-clics-qui-polluent-video/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/data-center/email-cloud-data-questions/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/data-center/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/data-center/localiser-les-data-centers-questions/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/activites/du-ticket-caisse-base-donnees/analyse-d-une-base-de-donnees-relationnelle-questions/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
