status;http;url;source;markdown;src_chars;local_chars;live_chars;local_cov;live_cov;src_img;local_img;live_img;src_yt;live_yt;issues;missing_local;missing_live;mojibake;error
FAIL;200;https://meunier78.github.io/Manuel-SNT/web/cours/les-bases-des-langages-html/exemple-de-fichier-html-fichier-2/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Le Web\Cours\Les bases des langages HTML\Exemple de fichier HTML Fichier (2).html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\web\cours\les-bases-des-langages-html\exemple-de-fichier-html-fichier-2.md;140;110;110;0.7667;0.7667;1;1;1;0;0;Texte local très incomplet (76.7%) | Texte public très incomplet (76.7%) | 1 image(s) publique(s) inaccessible(s);;;;
FAIL;200;https://meunier78.github.io/Manuel-SNT/web/cours/les-elements-html-selecteurs/exemple-pour-le-modele-de-boite-fichier-html-2/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Le Web\Cours\Les elements HTML selecteurs\Exemple pour le modele de boite Fichier HTML (2).html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\web\cours\les-elements-html-selecteurs\exemple-pour-le-modele-de-boite-fichier-html-2.md;89;68;68;0.6923;0.6923;0;0;0;0;0;Texte local très incomplet (69.2%) | Texte public très incomplet (69.2%);;;;
FAIL;200;https://meunier78.github.io/Manuel-SNT/web/cours/les-elements-html-selecteurs/exemple-pour-les-attributs-class-et-id-fichier-html-2/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Le Web\Cours\Les elements HTML selecteurs\Exemple pour les attributs class et id Fichier HTML (2).html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\web\cours\les-elements-html-selecteurs\exemple-pour-les-attributs-class-et-id-fichier-html-2.md;113;92;92;0.7059;0.7059;0;0;0;0;0;Texte local très incomplet (70.6%) | Texte public très incomplet (70.6%);;;;
FAIL;200;https://meunier78.github.io/Manuel-SNT/web/cours/les-elements-html-selecteurs/exemple-pour-les-elements-block-et-inline-fichier-html-2/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Le Web\Cours\Les elements HTML selecteurs\Exemple pour les elements block et inline Fichier HTML (2).html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\web\cours\les-elements-html-selecteurs\exemple-pour-les-elements-block-et-inline-fichier-html-2.md;93;68;68;0.7778;0.7778;0;0;0;0;0;Texte local très incomplet (77.8%) | Texte public très incomplet (77.8%);;;;
WARN;200;https://meunier78.github.io/Manuel-SNT/web/cours/les-elements-html-selecteurs/exemple-pour-div-et-span-fichier-html-2/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Le Web\Cours\Les elements HTML selecteurs\Exemple pour div et span Fichier HTML (2).html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\web\cours\les-elements-html-selecteurs\exemple-pour-div-et-span-fichier-html-2.md;144;123;123;0.8621;0.8621;0;0;0;0;0;Texte local à contrôler (86.2%) | Texte public à contrôler (86.2%);;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/bases-donnees-relationnelles/base-de-donnees-clients-maquette-1-fichier/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Bases donnees relationnelles\Base de donnees clients maquette 1 Fichier.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\bases-donnees-relationnelles\base-de-donnees-clients-maquette-1-fichier.md;0;0;0;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/bases-donnees-relationnelles/base-de-donnees-clients-maquette-2-fichier/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Bases donnees relationnelles\Base de donnees clients maquette 2 Fichier.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\bases-donnees-relationnelles\base-de-donnees-clients-maquette-2-fichier.md;0;0;0;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/bases-donnees-relationnelles/exemple-de-cle-primaire-et-etrangere-schema/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Bases donnees relationnelles\Exemple de cle primaire et etrangere Schema.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\bases-donnees-relationnelles\exemple-de-cle-primaire-et-etrangere-schema.md;0;0;0;1.0000;1.0000;0;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/bases-donnees-relationnelles/les-bases-de-donnees-relationnelles/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Bases donnees relationnelles\Les bases de donnees relationnelles.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\bases-donnees-relationnelles\les-bases-de-donnees-relationnelles.md;422;422;422;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/bases-donnees-relationnelles/modeliser-un-base-de-donnees-clients-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Bases donnees relationnelles\Modeliser un base de donnees clients Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\bases-donnees-relationnelles\modeliser-un-base-de-donnees-clients-questions.md;1161;1161;1161;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/data-center/comprendre-les-data-centers-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Data center\Comprendre les data centers Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\data-center\comprendre-les-data-centers-questions.md;558;558;558;1.0000;1.0000;0;0;0;0;0;;;;;
